Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-035I,Gutekunst,0.585,0.205,12.90769231,48.73299231,7.551,2.9,0.4
RZ-035X,Gutekunst,0.579,0.207,13.04145078,49.23799741,7.551,2.9,0.4
RZ-036A-01I,Gutekunst,0.012,2.515,362.5833333,788.8000417,4.351,10,0.5
RZ-036A-01X,Gutekunst,0.012,2.526,362.5833333,788.8000417,4.351,10,0.5
RZ-036AAI,Gutekunst,0.067,0.521,64.94029851,141.2776194,4.351,10,0.5
RZ-036AAX,Gutekunst,0.065,0.533,66.93846154,145.6246231,4.351,10,0.5
RZ-036ABI,Gutekunst,0.031,1.031,140.3548387,305.3419516,4.351,10,0.5
RZ-036ABX,Gutekunst,0.031,1.043,140.3548387,305.3419516,4.351,10,0.5
RZ-036ACI,Gutekunst,0.015,2.05,290.0666667,631.0400333,4.351,10,0.5
RZ-036ACX,Gutekunst,0.015,2.062,290.0666667,631.0400333,4.351,10,0.5
RZ-036ADI,Gutekunst,0.01,3.07,435.1,946.56005,4.351,10,0.5
RZ-036ADX,Gutekunst,0.01,3.082,435.1,946.56005,4.351,10,0.5
RZ-036AEI,Gutekunst,0.007,4.089,621.5714286,1352.228643,4.351,10,0.5
RZ-036AEX,Gutekunst,0.007,4.101,621.5714286,1352.228643,4.351,10,0.5
RZ-036AI,Gutekunst,0.308,0.377,24.51623377,92.56104058,7.551,2.9,0.4
RZ-036AX,Gutekunst,0.307,0.379,24.59609121,92.86254235,7.551,2.9,0.4
RZ-036BAI,Gutekunst,0.137,0.411,39.56934307,107.2527044,5.421,8,0.5
RZ-036BAX,Gutekunst,0.133,0.421,40.7593985,110.4783496,5.421,8,0.5
RZ-036BBI,Gutekunst,0.063,0.814,86.04761905,233.2320714,5.421,8,0.5
RZ-036BBX,Gutekunst,0.062,0.823,87.43548387,236.993879,5.421,8,0.5
RZ-036BCI,Gutekunst,0.03,1.619,180.7,489.78735,5.421,8,0.5
RZ-036BCX,Gutekunst,0.03,1.628,180.7,489.78735,5.421,8,0.5
RZ-036BDI,Gutekunst,0.02,2.424,271.05,734.681025,5.421,8,0.5
RZ-036BDX,Gutekunst,0.02,2.433,271.05,734.681025,5.421,8,0.5
RZ-036BEI,Gutekunst,0.015,3.228,361.4,979.5747,5.421,8,0.5
RZ-036BEX,Gutekunst,0.015,3.238,361.4,979.5747,5.421,8,0.5
RZ-036BI,Gutekunst,0.268,0.431,28.17537313,106.3761213,7.551,2.9,0.4
RZ-036BX,Gutekunst,0.267,0.433,28.28089888,106.7745337,7.551,2.9,0.4
RZ-036CI,Gutekunst,0.233,0.494,32.40772532,122.355367,7.551,2.9,0.4
RZ-036CX,Gutekunst,0.232,0.496,32.54741379,122.8827608,7.551,2.9,0.4
