Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-154I,Gutekunst,3.715,32.313,50.09421265,4661.266487,186.1,22.5,2.5
RZ-154X,Gutekunst,3.636,32.928,51.18261826,4762.542629,186.1,22.5,2.5
RZ-155I,Gutekunst,1.744,64.017,106.7087156,9929.245986,186.1,22.5,2.5
RZ-155X,Gutekunst,1.726,64.632,107.8215527,10032.79548,186.1,22.5,2.5
RZ-156AI,Gutekunst,0.919,117.67,202.5027203,18842.87813,186.1,22.5,2.5
RZ-156AX,Gutekunst,0.914,118.284,203.6105033,18945.95733,186.1,22.5,2.5
RZ-156BI,Gutekunst,0.799,134.741,232.9161452,21672.84731,186.1,22.5,2.5
RZ-156BX,Gutekunst,0.795,135.356,234.0880503,21781.89308,186.1,22.5,2.5
RZ-156CI,Gutekunst,0.695,154.251,267.7697842,24915.97842,186.1,22.5,2.5
RZ-156CX,Gutekunst,0.692,154.866,268.9306358,25023.99566,186.1,22.5,2.5
RZ-156DI,Gutekunst,0.615,173.761,302.601626,28157.0813,186.1,22.5,2.5
RZ-156DX,Gutekunst,0.613,174.376,303.588907,28248.9478,186.1,22.5,2.5
RZ-156E-10I,Gutekunst,6.713,24.006,30.9548637,3216.210338,207.8,20,2.5
RZ-156E-10X,Gutekunst,6.54,24.544,31.77370031,3301.287462,207.8,20,2.5
RZ-156EI,Gutekunst,0.551,193.271,337.7495463,31427.59528,186.1,22.5,2.5
RZ-156EX,Gutekunst,0.549,193.886,338.9799636,31542.08561,186.1,22.5,2.5
RZ-156FI,Gutekunst,4.398,34.676,47.24874943,4909.145066,207.8,20,2.5
RZ-156FX,Gutekunst,4.323,35.214,48.06847097,4994.314134,207.8,20,2.5
RZ-156GI,Gutekunst,2.714,53.881,76.56595431,7955.202653,207.8,20,2.5
RZ-156GX,Gutekunst,2.685,54.419,77.39292365,8041.124767,207.8,20,2.5
RZ-156HI,Gutekunst,2.501,58.149,83.08676529,8632.714914,207.8,20,2.5
RZ-156HX,Gutekunst,2.477,58.687,83.8918046,8716.358498,207.8,20,2.5
RZ-156I,Gutekunst,1.082,100.599,171.9963031,16004.25601,186.1,22.5,2.5
RZ-156JI,Gutekunst,1.657,85.89,125.4073627,13029.82498,207.8,20,2.5
RZ-156JX,Gutekunst,1.646,86.428,126.2454435,13116.90158,207.8,20,2.5
RZ-156KI,Gutekunst,1.17,120.033,177.6068376,18453.35043,207.8,20,2.5
RZ-156KX,Gutekunst,1.165,120.57,178.3690987,18532.54936,207.8,20,2.5
RZ-156LI,Gutekunst,0.974,143.506,213.3470226,22166.75565,207.8,20,2.5
RZ-156LX,Gutekunst,0.97,144.043,214.2268041,22258.16495,207.8,20,2.5
RZ-156MI,Gutekunst,0.905,154.175,229.6132597,23856.81768,207.8,20,2.5
RZ-156MX,Gutekunst,0.901,154.713,230.6326304,23962.7303,207.8,20,2.5
RZ-156NI,Gutekunst,0.868,160.577,239.4009217,24873.75576,207.8,20,2.5
RZ-156NX,Gutekunst,0.865,161.115,240.2312139,24960.02312,207.8,20,2.5
RZ-156X,Gutekunst,1.075,101.213,173.1162791,16108.46977,186.1,22.5,2.5
RZ-157AI,Gutekunst,5.755,31.704,38.81841877,4336.017376,223.4,18.5,2.5
RZ-157AX,Gutekunst,5.657,32.196,39.49089623,4411.133109,223.4,18.5,2.5
RZ-157I,Gutekunst,7.256,25.851,30.78831312,3439.054576,223.4,18.5,2.5
RZ-157X,Gutekunst,7.101,26.343,31.4603577,3514.121955,223.4,18.5,2.5
RZ-158I,Gutekunst,3.406,51.214,65.59013506,7326.418086,223.4,18.5,2.5
RZ-158X,Gutekunst,3.371,51.706,66.27113616,7402.485909,223.4,18.5,2.5
RZ-159AI,Gutekunst,1.795,94.136,124.4568245,13901.8273,223.4,18.5,2.5
RZ-159AX,Gutekunst,1.785,94.628,125.1540616,13979.70868,223.4,18.5,2.5
RZ-159BI,Gutekunst,1.56,107.793,143.2051282,15996.01282,223.4,18.5,2.5
RZ-159BX,Gutekunst,1.552,108.285,143.943299,16078.46649,223.4,18.5,2.5
RZ-159CI,Gutekunst,1.357,123.401,164.6278556,18388.93147,223.4,18.5,2.5
RZ-159CX,Gutekunst,1.351,123.893,165.3589933,18470.59956,223.4,18.5,2.5
RZ-159DI,Gutekunst,1.201,139.009,186.011657,20777.50208,223.4,18.5,2.5
RZ-159DX,Gutekunst,1.196,139.501,186.7892977,20864.36455,223.4,18.5,2.5
RZ-159EI,Gutekunst,1.077,154.617,207.4280409,23169.71216,223.4,18.5,2.5
RZ-159EX,Gutekunst,1.073,155.109,208.2013048,23256.08574,223.4,18.5,2.5
RZ-159I,Gutekunst,2.113,80.479,105.7264553,11809.64505,223.4,18.5,2.5
RZ-159X,Gutekunst,2.099,80.971,106.4316341,11888.41353,223.4,18.5,2.5
RZ-160I,Gutekunst,15.217,20.196,17.7301702,2391.799961,269.8,15,2.5
RZ-160X,Gutekunst,14.891,20.58,18.11832651,2444.162246,269.8,15,2.5
RZ-161I,Gutekunst,7.143,40.011,37.77124458,5095.340893,269.8,15,2.5
RZ-161X,Gutekunst,7.07,40.395,38.1612447,5147.951909,269.8,15,2.5
RZ-162AI,Gutekunst,3.763,73.544,71.69811321,9672.075472,269.8,15,2.5
RZ-162AX,Gutekunst,3.743,73.928,72.08121827,9723.756345,269.8,15,2.5
RZ-162BI,Gutekunst,3.271,84.213,82.48242128,11126.87863,269.8,15,2.5
RZ-162BX,Gutekunst,3.256,84.597,82.86240786,11178.13882,269.8,15,2.5
RZ-162CI,Gutekunst,2.922,93.968,92.3340178,12455.859,269.8,15,2.5
RZ-162CX,Gutekunst,2.834,96.791,95.20112915,12842.63232,269.8,15,2.5
RZ-162DI,Gutekunst,2.518,108.601,107.1485306,14454.33678,269.8,15,2.5
RZ-162DX,Gutekunst,2.509,108.985,107.5328816,14506.18573,269.8,15,2.5
RZ-162E-10I,Gutekunst,1.298,60.572,121.7257319,9616.33282,158,38,2.8
RZ-162E-10X,Gutekunst,1.265,61.918,124.9011858,9867.193676,158,38,2.8
RZ-162E-11I,Gutekunst,0.796,92.877,198.4924623,15680.90452,158,38,2.8
RZ-162E-11X,Gutekunst,0.783,94.223,201.7879949,15941.2516,158,38,2.8
RZ-162E-12I,Gutekunst,0.503,141.334,314.1153082,24815.10934,158,38,2.8
RZ-162E-12X,Gutekunst,0.498,142.68,317.2690763,25064.25703,158,38,2.8
RZ-162E-13I,Gutekunst,0.312,222.096,506.4102564,40006.41026,158,38,2.8
RZ-162E-13X,Gutekunst,0.31,223.442,509.6774194,40264.51613,158,38,2.8
RZ-162E-14I,Gutekunst,0.207,329.779,763.2850242,60299.51691,158,38,2.8
RZ-162E-14X,Gutekunst,0.206,331.125,766.9902913,60592.23301,158,38,2.8
RZ-162EI,Gutekunst,2.258,120.795,119.486271,16118.69796,269.8,15,2.5
RZ-162EX,Gutekunst,2.228,122.398,121.0951526,16335.73609,269.8,15,2.5
RZ-162FI,Gutekunst,2.813,46.805,68.71667259,6641.466406,193.3,30,2.8
RZ-162FX,Gutekunst,2.741,47.846,70.52170741,6815.923021,193.3,30,2.8
RZ-162GI,Gutekunst,1.724,71.768,112.1229698,10836.68503,193.3,30,2.8
RZ-162GX,Gutekunst,1.697,72.808,113.9068945,11009.10136,193.3,30,2.8
RZ-162HI,Gutekunst,1.091,109.213,177.1769019,17124.14757,193.3,30,2.8
RZ-162HX,Gutekunst,1.08,110.253,178.9814815,17298.56019,193.3,30,2.8
RZ-162I,Gutekunst,4.43,62.874,60.90293454,8215.805869,269.8,15,2.5
RZ-162JI,Gutekunst,0.677,171.62,285.5243722,27595.93058,193.3,30,2.8
RZ-162JX,Gutekunst,0.672,172.66,287.6488095,27801.25744,193.3,30,2.8
RZ-162K-01I,Gutekunst,1.277,136.676,180.0313234,20694.60063,229.9,25,2.8
RZ-162K-01X,Gutekunst,1.269,137.525,181.1662727,20825.06304,229.9,25,2.8
RZ-162K-02I,Gutekunst,1.014,170.633,226.7258383,26062.13511,229.9,25,2.8
RZ-162K-02X,Gutekunst,1.008,171.482,228.0753968,26217.26687,229.9,25,2.8
RZ-162K-03I,Gutekunst,0.84,204.59,273.6904762,31460.72024,229.9,25,2.8
RZ-162K-03X,Gutekunst,0.837,205.439,274.6714456,31573.48268,229.9,25,2.8
RZ-162K-04I,Gutekunst,0.718,238.547,320.1949861,36806.41365,229.9,25,2.8
RZ-162K-04X,Gutekunst,0.715,239.396,321.5384615,36960.84615,229.9,25,2.8
RZ-162K-20I,Gutekunst,4.682,41.597,49.10294746,5644.38381,229.9,25,2.8
RZ-162K-20X,Gutekunst,4.573,42.446,50.27334354,5778.92084,229.9,25,2.8
RZ-162K-21I,Gutekunst,2.006,89.137,114.6061815,13173.98056,229.9,25,2.8
RZ-162K-21X,Gutekunst,1.986,89.986,115.7603223,13306.64904,229.9,25,2.8
RZ-162KI,Gutekunst,0.449,254.829,430.5122494,41609.00891,193.3,30,2.8
RZ-162KX,Gutekunst,0.447,255.869,432.4384787,41795.17897,193.3,30,2.8
RZ-162LI,Gutekunst,11.126,29.598,25.42692792,3596.638954,282.9,20,2.8
RZ-162LX,Gutekunst,10.841,30.255,26.09537866,3691.191311,282.9,20,2.8
RZ-162MI,Gutekunst,6.819,45.383,41.48702156,5868.339199,282.9,20,2.8
RZ-162MX,Gutekunst,6.711,46.041,42.15467143,5962.778274,282.9,20,2.8
RZ-162N-01I,Gutekunst,3.465,84.846,81.64502165,11548.68831,282.9,20,2.8
RZ-162N-01X,Gutekunst,3.437,85.504,82.3101542,11642.77131,282.9,20,2.8
RZ-162NI,Gutekunst,4.314,69.061,65.57719054,9275.893602,282.9,20,2.8
RZ-162NX,Gutekunst,4.271,69.719,66.23741513,9369.282369,282.9,20,2.8
RZ-162O-01I,Gutekunst,2.487,116.417,113.7515078,16090.15078,282.9,20,2.8
RZ-162O-01X,Gutekunst,2.472,117.075,114.4417476,16187.78519,282.9,20,2.8
RZ-162O-02I,Gutekunst,2.052,140.095,137.8654971,19501.07456,282.9,20,2.8
RZ-162O-02X,Gutekunst,2.042,140.753,138.5406464,19596.57444,282.9,20,2.8
RZ-162OI,Gutekunst,2.676,108.524,105.7174888,14953.73879,282.9,20,2.8
RZ-162OX,Gutekunst,2.659,109.182,106.393381,15049.34374,282.9,20,2.8
RZ-162P-01I,Gutekunst,1.691,169.035,167.2974571,23664.22531,282.9,20,2.8
RZ-162P-01X,Gutekunst,1.684,169.693,167.9928741,23762.59204,282.9,20,2.8
RZ-162PI,Gutekunst,1.776,161.142,159.2905405,22531.64696,282.9,20,2.8
RZ-162PX,Gutekunst,1.769,161.8,159.9208592,22620.80554,282.9,20,2.8
RZ-162QI,Gutekunst,40.296,19.273,9.596486004,1855.480569,386.7,14,2.8
RZ-162QX,Gutekunst,39.263,19.701,9.848967221,1904.297812,386.7,14,2.8
RZ-162RI,Gutekunst,24.698,29.552,15.65713823,3027.307677,386.7,14,2.8
RZ-162RX,Gutekunst,24.306,29.98,15.90965194,3076.131202,386.7,14,2.8
RZ-162SI,Gutekunst,15.625,44.97,24.7488,4785.18048,386.7,14,2.8
RZ-162SX,Gutekunst,15.467,45.398,25.00161634,4834.06252,386.7,14,2.8
RZ-162TI,Gutekunst,9.691,70.667,39.90300279,7715.245589,386.7,14,2.8
RZ-162TX,Gutekunst,9.63,71.095,40.15576324,7764.116822,386.7,14,2.8
RZ-162U-01I,Gutekunst,0.509,190.033,347.5442043,30740.28487,176.9,40,3
RZ-162U-01X,Gutekunst,0.504,191.657,350.9920635,31045.24802,176.9,40,3
RZ-162U-02I,Gutekunst,0.418,229.014,423.2057416,37432.54785,176.9,40,3
RZ-162U-02X,Gutekunst,0.415,230.638,426.2650602,37703.14458,176.9,40,3
RZ-162U-03I,Gutekunst,0.345,274.492,512.7536232,45353.05797,176.9,40,3
RZ-162U-03X,Gutekunst,0.343,276.116,515.7434402,45617.50729,176.9,40,3
RZ-162U-04I,Gutekunst,0.301,313.473,587.7076412,51982.74086,176.9,40,3
RZ-162U-04X,Gutekunst,0.299,315.097,591.638796,52330.45151,176.9,40,3
RZ-162U-05I,Gutekunst,0.262,358.951,675.1908397,59720.62977,176.9,40,3
RZ-162U-05X,Gutekunst,0.26,360.575,680.3846154,60180.01923,176.9,40,3
RZ-162U-06I,Gutekunst,0.228,410.926,775.877193,68626.33772,176.9,40,3
RZ-162U-06X,Gutekunst,0.227,412.55,779.2951542,68928.65639,176.9,40,3
RZ-162U-07I,Gutekunst,0.201,462.9,880.0995025,77844.801,176.9,40,3
RZ-162U-07X,Gutekunst,0.201,464.524,880.0995025,77844.801,176.9,40,3
RZ-162U-10I,Gutekunst,0.965,105.574,183.3160622,16214.3057,176.9,40,3
RZ-162U-10X,Gutekunst,0.949,107.198,186.4067439,16487.6765,176.9,40,3
RZ-162U-18I,Gutekunst,2.325,72.563,94.3655914,10351.90538,219.4,32,3
RZ-162U-18X,Gutekunst,2.279,73.836,96.27029399,10560.85125,219.4,32,3
RZ-162U-19I,Gutekunst,1.418,113.3,154.7249647,16973.32863,219.4,32,3
RZ-162U-19X,Gutekunst,1.401,114.573,156.6024268,17179.28622,219.4,32,3
RZ-162U-20I,Gutekunst,1.057,148.945,207.5685904,22770.27436,219.4,32,3
RZ-162U-20X,Gutekunst,1.047,150.218,209.5510984,22987.75549,219.4,32,3
RZ-162U-21I,Gutekunst,0.868,179.497,252.764977,27728.31797,219.4,32,3
RZ-162U-21X,Gutekunst,0.861,180.77,254.8199768,27953.75145,219.4,32,3
RZ-162U-22I,Gutekunst,0.718,215.142,305.5710306,33521.14206,219.4,32,3
RZ-162U-22X,Gutekunst,0.713,216.415,307.713885,33756.21318,219.4,32,3
RZ-162U-23I,Gutekunst,0.625,245.695,351.04,38509.088,219.4,32,3
RZ-162U-23X,Gutekunst,0.622,246.968,352.733119,38694.82315,219.4,32,3
RZ-162U-24I,Gutekunst,0.543,281.34,404.0515654,44324.45672,219.4,32,3
RZ-162U-24X,Gutekunst,0.541,282.613,405.5452865,44488.31793,219.4,32,3
RZ-162U-25I,Gutekunst,0.472,322.077,464.8305085,50991.90678,219.4,32,3
RZ-162U-25X,Gutekunst,0.471,323.35,465.8174098,51100.16985,219.4,32,3
RZ-162U-26I,Gutekunst,0.418,362.814,524.8803828,57579.37799,219.4,32,3
RZ-162U-26X,Gutekunst,0.417,364.087,526.1390887,57717.45803,219.4,32,3
RZ-162U-28I,Gutekunst,6.122,52.545,47.02711532,6769.553251,287.9,24,3
RZ-162U-28X,Gutekunst,6.002,53.467,47.96734422,6904.8992,287.9,24,3
RZ-162U-29I,Gutekunst,3.733,82.045,77.12295741,11101.84972,287.9,24,3
RZ-162U-29X,Gutekunst,3.688,82.966,78.06399132,11237.31155,287.9,24,3
RZ-162U-30I,Gutekunst,2.783,107.856,103.4495149,14891.55767,287.9,24,3
RZ-162U-30X,Gutekunst,2.758,108.778,104.3872371,15026.54278,287.9,24,3
RZ-162U-31I,Gutekunst,2.285,129.981,125.9956236,18137.07002,287.9,24,3
RZ-162U-31X,Gutekunst,2.268,130.903,126.9400353,18273.01808,287.9,24,3
RZ-162U-32I,Gutekunst,1.89,155.793,152.3280423,21927.62169,287.9,24,3
RZ-162U-32X,Gutekunst,1.878,156.714,153.3013845,22067.73429,287.9,24,3
RZ-162U-33I,Gutekunst,1.646,177.917,174.90887,25178.13183,287.9,24,3
RZ-162U-33X,Gutekunst,1.637,178.839,175.8704948,25316.55773,287.9,24,3
RZ-162U-34I,Gutekunst,1.431,203.729,201.1879804,28961.00978,287.9,24,3
RZ-162U-34X,Gutekunst,1.424,204.651,202.1769663,29103.3743,287.9,24,3
RZ-162U-35I,Gutekunst,1.244,233.228,231.4308682,33314.47347,287.9,24,3
RZ-162U-35X,Gutekunst,1.239,234.15,232.3648103,33448.91445,287.9,24,3
RZ-162U-36I,Gutekunst,1.101,262.727,261.489555,37641.42144,287.9,24,3
RZ-162U-36X,Gutekunst,1.097,263.649,262.4430264,37778.67366,287.9,24,3
RZ-162U-38I,Gutekunst,16.8,37.532,22.25595238,4160.750298,373.9,18,3
RZ-162U-38X,Gutekunst,16.471,38.191,22.70050392,4243.859207,373.9,18,3
RZ-162U-39I,Gutekunst,10.244,58.603,36.49941429,6823.565502,373.9,18,3
RZ-162U-39X,Gutekunst,10.121,59.262,36.94298982,6906.491947,373.9,18,3
RZ-162U-40I,Gutekunst,7.636,77.04,48.96542693,9154.086564,373.9,18,3
RZ-162U-40X,Gutekunst,7.568,77.699,49.40539112,9236.33787,373.9,18,3
RZ-162U-41I,Gutekunst,6.269,92.843,59.64268623,11150.20019,373.9,18,3
RZ-162U-41X,Gutekunst,6.222,93.502,60.09321761,11234.42703,373.9,18,3
RZ-162U-42I,Gutekunst,5.185,111.28,72.11186114,13481.31244,373.9,18,3
RZ-162U-42X,Gutekunst,5.153,111.939,72.55967398,13565.03105,373.9,18,3
RZ-162U-43I,Gutekunst,4.516,127.084,82.79450841,15478.43335,373.9,18,3
RZ-162U-43X,Gutekunst,4.492,127.742,83.23686554,15561.13201,373.9,18,3
RZ-162U-44I,Gutekunst,3.925,145.521,95.2611465,17809.07134,373.9,18,3
RZ-162U-44X,Gutekunst,3.907,146.179,95.7000256,17891.11979,373.9,18,3
RZ-162U-45I,Gutekunst,3.415,166.591,109.4875549,20468.69839,373.9,18,3
RZ-162U-45X,Gutekunst,3.401,167.25,109.9382535,20552.95648,373.9,18,3
RZ-162U-46I,Gutekunst,3.022,187.662,123.7260093,23130.57743,373.9,18,3
RZ-162U-46X,Gutekunst,3.011,188.321,124.1780139,23215.07971,373.9,18,3
RZ-162UI,Gutekunst,6.434,104.93,60.10258004,11620.83385,386.7,14,2.8
RZ-162UX,Gutekunst,6.407,105.358,60.35586078,11669.80568,386.7,14,2.8
RZ-162X,Gutekunst,4.402,63.258,61.29032258,8268.064516,269.8,15,2.5
RZ-163I,Gutekunst,1.247,105.885,158.5404972,15671.72815,197.7,43.2,3.2
RZ-163X,Gutekunst,1.22,107.883,162.0491803,16018.56148,197.7,43.2,3.2
RZ-164I,Gutekunst,0.585,209.772,337.9487179,33406.23077,197.7,43.2,3.2
RZ-164X,Gutekunst,0.579,211.77,341.4507772,33752.40933,197.7,43.2,3.2
RZ-165AI,Gutekunst,0.268,441.52,737.6865672,72920.31716,197.7,43.2,3.2
RZ-165AX,Gutekunst,0.267,443.518,740.4494382,73193.42697,197.7,43.2,3.2
RZ-165I,Gutekunst,0.363,329.642,544.6280992,53836.4876,197.7,43.2,3.2
RZ-165X,Gutekunst,0.361,331.64,547.6454294,54134.75069,197.7,43.2,3.2
RZ-166AI,Gutekunst,2.24,91.101,107.5446429,12953.75223,240.9,35.2,3.2
RZ-166AX,Gutekunst,2.196,92.699,109.6994536,13213.29918,240.9,35.2,3.2
RZ-166I,Gutekunst,2.435,84.708,98.93223819,11916.38809,240.9,35.2,3.2
RZ-166X,Gutekunst,2.383,86.306,101.0910617,12176.41838,240.9,35.2,3.2
RZ-167I,Gutekunst,1.143,167.818,210.7611549,25386.1811,240.9,35.2,3.2
RZ-167X,Gutekunst,1.131,169.416,212.9973475,25655.5305,240.9,35.2,3.2
RZ-168AI,Gutekunst,0.602,308.465,400.166113,48200.00831,240.9,35.2,3.2
RZ-168AX,Gutekunst,0.599,310.063,402.1702838,48441.41068,240.9,35.2,3.2
RZ-168BI,Gutekunst,0.523,353.216,460.6118547,55480.6979,240.9,35.2,3.2
RZ-168BX,Gutekunst,0.521,354.814,462.3800384,55693.67562,240.9,35.2,3.2
RZ-168CI,Gutekunst,0.455,404.361,529.4505495,63772.31868,240.9,35.2,3.2
RZ-168CX,Gutekunst,0.453,405.959,531.7880795,64053.87417,240.9,35.2,3.2
RZ-168DI,Gutekunst,0.403,455.505,597.7667494,72001.00496,240.9,35.2,3.2
RZ-168DX,Gutekunst,0.401,457.103,600.7481297,72360.11222,240.9,35.2,3.2
RZ-168EI,Gutekunst,0.361,506.649,667.3130194,80377.85319,240.9,35.2,3.2
RZ-168EX,Gutekunst,0.36,508.248,669.1666667,80601.125,240.9,35.2,3.2
RZ-168I,Gutekunst,0.709,263.713,339.77433,40925.81805,240.9,35.2,3.2
RZ-168X,Gutekunst,0.704,265.312,342.1875,41216.48438,240.9,35.2,3.2
RZ-169I,Gutekunst,5.106,66.178,58.26478653,8666.886996,297.5,28.2,3.2
RZ-169X,Gutekunst,4.997,67.427,59.53572143,8855.938563,297.5,28.2,3.2
RZ-170I,Gutekunst,2.397,131.107,124.1134752,18461.87943,297.5,28.2,3.2
RZ-170X,Gutekunst,2.373,132.356,125.3687316,18648.59882,297.5,28.2,3.2
RZ-171AI,Gutekunst,1.263,240.988,235.5502771,35038.10372,297.5,28.2,3.2
RZ-171AX,Gutekunst,1.256,242.237,236.8630573,35233.37978,297.5,28.2,3.2
RZ-171BI,Gutekunst,1.098,275.95,270.9471767,40303.39253,297.5,28.2,3.2
RZ-171BX,Gutekunst,1.093,277.199,272.1866423,40487.76304,297.5,28.2,3.2
RZ-171CI,Gutekunst,0.955,315.907,311.5183246,46338.35079,297.5,28.2,3.2
RZ-171CX,Gutekunst,0.951,317.155,312.8286015,46533.25447,297.5,28.2,3.2
RZ-171DI,Gutekunst,0.845,355.863,352.0710059,52370.56213,297.5,28.2,3.2
RZ-171DX,Gutekunst,0.842,357.112,353.3254157,52557.15558,297.5,28.2,3.2
RZ-171EI,Gutekunst,0.758,395.82,392.4802111,58381.4314,297.5,28.2,3.2
RZ-171EX,Gutekunst,0.755,397.068,394.0397351,58613.4106,297.5,28.2,3.2
RZ-171I,Gutekunst,1.487,206.026,200.0672495,29760.00336,297.5,28.2,3.2
RZ-171X,Gutekunst,1.477,207.275,201.4218009,29961.49289,297.5,28.2,3.2
RZ-172I,Gutekunst,9.973,52.943,35.76656974,6378.967713,356.7,23.2,3.2
RZ-172X,Gutekunst,9.761,53.941,36.54338695,6517.513062,356.7,23.2,3.2
RZ-173I,Gutekunst,4.681,104.886,76.20166631,13590.56719,356.7,23.2,3.2
RZ-173X,Gutekunst,4.634,105.885,76.97453604,13728.4085,356.7,23.2,3.2
RZ-174AI,Gutekunst,2.466,192.791,144.6472019,25797.82847,356.7,23.2,3.2
RZ-174AX,Gutekunst,2.453,193.789,145.413779,25934.54749,356.7,23.2,3.2
RZ-174BI,Gutekunst,2.144,220.76,166.3712687,29672.31576,356.7,23.2,3.2
RZ-174BX,Gutekunst,2.134,221.759,167.1508903,29811.36129,356.7,23.2,3.2
RZ-174CI,Gutekunst,1.865,252.725,191.2600536,34111.23056,356.7,23.2,3.2
RZ-174CX,Gutekunst,1.857,253.724,192.0840065,34258.18255,356.7,23.2,3.2
RZ-174DI,Gutekunst,1.65,284.691,216.1818182,38556.02727,356.7,23.2,3.2
RZ-174DX,Gutekunst,1.644,285.69,216.9708029,38696.7427,356.7,23.2,3.2
RZ-174EI,Gutekunst,1.48,316.656,241.0135135,42984.76014,356.7,23.2,3.2
RZ-174EX,Gutekunst,1.475,317.655,241.8305085,43130.47119,356.7,23.2,3.2
RZ-174I,Gutekunst,2.904,164.821,122.8305785,21906.83368,356.7,23.2,3.2
RZ-174X,Gutekunst,2.885,165.82,123.6395147,22051.10745,356.7,23.2,3.2
RZ-175I,Gutekunst,19.478,42.354,21.71167471,4590.933617,422.9,19.2,3.2
RZ-175X,Gutekunst,19.064,43.153,22.18317247,4690.631819,422.9,19.2,3.2
RZ-176I,Gutekunst,9.143,83.909,46.25396478,9780.400853,422.9,19.2,3.2
RZ-176X,Gutekunst,9.05,84.708,46.72928177,9880.90663,422.9,19.2,3.2
RZ-177AI,Gutekunst,4.817,154.232,87.7932323,18563.87897,422.9,19.2,3.2
RZ-177AX,Gutekunst,4.791,155.031,88.2696723,18664.62221,422.9,19.2,3.2
RZ-177BI,Gutekunst,4.187,176.608,101.0031048,21357.10652,422.9,19.2,3.2
RZ-177BX,Gutekunst,4.167,177.407,101.487881,21459.61243,422.9,19.2,3.2
RZ-177CI,Gutekunst,3.642,202.18,116.1175178,24553.04915,422.9,19.2,3.2
RZ-177CX,Gutekunst,3.627,202.979,116.5977392,24654.59195,422.9,19.2,3.2
RZ-177DI,Gutekunst,3.223,227.753,131.2131554,27745.02172,422.9,19.2,3.2
RZ-177DX,Gutekunst,3.212,228.552,131.6625156,27840.03892,422.9,19.2,3.2
RZ-177EI,Gutekunst,2.89,253.325,146.3321799,30941.93945,422.9,19.2,3.2
RZ-177EX,Gutekunst,2.881,254.124,146.7893093,31038.59944,422.9,19.2,3.2
RZ-177FI,Gutekunst,3.208,103.542,92.89276808,13841.02244,298,40,3.6
RZ-177FX,Gutekunst,3.125,105.843,95.36,14208.64,298,40,3.6
RZ-177GI,Gutekunst,1.966,158.765,151.5768057,22584.94405,298,40,3.6
RZ-177GX,Gutekunst,1.935,161.066,154.005168,22946.77003,298,40,3.6
RZ-177HI,Gutekunst,1.244,241.598,239.5498392,35692.92605,298,40,3.6
RZ-177HX,Gutekunst,1.231,243.899,242.0796101,36069.8619,298,40,3.6
RZ-177I,Gutekunst,5.671,131.857,74.57238582,15768.33098,422.9,19.2,3.2
RZ-177JI,Gutekunst,0.771,379.655,386.5110246,57590.14267,298,40,3.6
RZ-177JX,Gutekunst,0.767,381.955,388.5267275,57890.4824,298,40,3.6
RZ-177K-01I,Gutekunst,2.104,231.586,175.1425856,32270.02139,368.5,32,3.6
RZ-177K-01X,Gutekunst,2.087,233.381,176.5692381,32532.88213,368.5,32,3.6
RZ-177K-02I,Gutekunst,1.711,281.852,215.371128,39682.13033,368.5,32,3.6
RZ-177K-02X,Gutekunst,1.7,283.647,216.7647059,39938.89706,368.5,32,3.6
RZ-177K-03I,Gutekunst,1.442,332.119,255.5478502,47084.6914,368.5,32,3.6
RZ-177K-03X,Gutekunst,1.434,333.914,256.9735007,47347.3675,368.5,32,3.6
RZ-177K-04I,Gutekunst,1.246,382.385,295.7463884,54491.27207,368.5,32,3.6
RZ-177K-04X,Gutekunst,1.24,384.181,297.1774194,54754.93952,368.5,32,3.6
RZ-177K-10I,Gutekunst,5.133,102.329,71.790376,13227.37678,368.5,32,3.6
RZ-177K-10X,Gutekunst,5.032,104.124,73.23131955,13492.87063,368.5,32,3.6
RZ-177K-11I,Gutekunst,3.13,159.776,117.7316294,21692.05272,368.5,32,3.6
RZ-177K-11X,Gutekunst,3.092,161.571,119.1785252,21958.64327,368.5,32,3.6
RZ-177KI,Gutekunst,0.512,563.73,582.03125,86722.65625,298,40,3.6
RZ-177KX,Gutekunst,0.51,566.03,584.3137255,87062.7451,298,40,3.6
RZ-177LI,Gutekunst,15.785,60.874,29.35064935,6799.077922,463.3,25,3.6
RZ-177LX,Gutekunst,15.381,62.226,30.12157857,6977.663676,463.3,25,3.6
RZ-177MI,Gutekunst,9.675,93.34,47.88630491,11092.86253,463.3,25,3.6
RZ-177MX,Gutekunst,9.521,94.692,48.66085495,11272.28705,463.3,25,3.6
RZ-177NI,Gutekunst,6.121,142.039,75.69024669,17533.64565,463.3,25,3.6
RZ-177NX,Gutekunst,6.059,143.391,76.46476316,17713.06239,463.3,25,3.6
RZ-177OI,Gutekunst,3.797,223.203,122.0173821,28265.32657,463.3,25,3.6
RZ-177OX,Gutekunst,3.773,224.556,122.793533,28445.12192,463.3,25,3.6
RZ-177PI,Gutekunst,2.52,331.423,183.8492063,42588.66865,463.3,25,3.6
RZ-177PX,Gutekunst,2.51,332.776,184.5816733,42758.34462,463.3,25,3.6
RZ-177QI,Gutekunst,51.809,40.962,11.91105792,3675.156923,617.1,18,3.6
